行为编号,所属活动,开始时间,结束时间,行为类型,主体,客体（行为目的）,布鲁姆教育目标分类,任务完成情况,工具,共同体（互动范围）,证据来源,备注
B162,AV2,0:08:15,0:08:18,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B163,AV2,0:08:18,0:08:21,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B164,AV2,0:08:21,0:08:24,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B165,AV2,0:08:24,0:08:27,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B166,AV2,0:08:27,0:08:30,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B167,AV2,0:08:30,0:08:33,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B168,AV2,0:08:33,0:08:36,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B169,AV2,0:08:36,0:08:39,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B170,AV2,0:08:39,0:08:42,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B171,AV2,0:08:42,0:08:45,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B172,AV2,0:08:45,0:08:48,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B173,AV2,0:08:48,0:08:51,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B174,AV2,0:08:51,0:08:54,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B175,AV2,0:08:54,0:08:57,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B176,AV2,0:08:57,0:09:00,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B177,AV2,0:09:00,0:09:03,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B178,AV2,0:09:03,0:09:06,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B179,AV2,0:09:06,0:09:09,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B180,AV2,0:09:09,0:09:12,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B181,AV2,0:09:12,0:09:15,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B182,AV2,0:09:15,0:09:18,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B183,AV2,0:09:18,0:09:21,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B184,AV2,0:09:21,0:09:24,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B185,AV2,0:09:24,0:09:27,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B186,AV2,0:09:27,0:09:30,诱发学习行为/引出行为,T&S,讨论后，回答老师问题，汇报讨论结果,应用,完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B187,AV2,0:09:30,0:09:33,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B188,AV2,0:09:33,0:09:36,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B189,AV2,0:09:36,0:09:39,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B190,AV2,0:09:39,0:09:42,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B191,AV2,0:09:42,0:09:45,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B192,AV2,0:09:45,0:09:48,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B193,AV2,0:09:48,0:09:51,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B194,AV2,0:09:51,0:09:54,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B195,AV2,0:09:54,0:09:57,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B196,AV2,0:09:57,0:10:00,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B197,AV2,0:10:00,0:10:03,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B198,AV2,0:10:03,0:10:06,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B199,AV2,0:10:06,0:10:09,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B200,AV2,0:10:09,0:10:12,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B201,AV2,0:10:12,0:10:15,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B202,AV2,0:10:15,0:10:18,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B203,AV2,0:10:18,0:10:21,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B204,AV2,0:10:21,0:10:24,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B205,AV2,0:10:24,0:10:27,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B206,AV2,0:10:27,0:10:30,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B207,AV2,0:10:30,0:10:33,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B208,AV2,0:10:33,0:10:36,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程和之前解的方程有什么不一样的”,分析,完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B209,AV2,0:10:36,0:10:39,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B210,AV2,0:10:39,0:10:42,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B211,AV2,0:10:42,0:10:45,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B212,AV2,0:10:45,0:10:48,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B213,AV2,0:10:48,0:10:51,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B214,AV2,0:10:51,0:10:54,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B215,AV2,0:10:54,0:10:57,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B216,AV2,0:10:57,0:11:00,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B217,AV2,0:11:00,0:11:03,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B218,AV2,0:11:03,0:11:06,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B219,AV2,0:11:06,0:11:09,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B220,AV2,0:11:09,0:11:12,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B221,AV2,0:11:12,0:11:15,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B222,AV2,0:11:15,0:11:18,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B223,AV2,0:11:18,0:11:21,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B224,AV2,0:11:21,0:11:24,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B225,AV2,0:11:24,0:11:27,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B226,AV2,0:11:27,0:11:30,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B227,AV2,0:11:30,0:11:33,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B228,AV2,0:11:33,0:11:36,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B229,AV2,0:11:36,0:11:39,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B230,AV2,0:11:39,0:11:42,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B231,AV2,0:11:42,0:11:45,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程如何求解x”,分析,完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B232,AV2,0:11:45,0:11:48,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B233,AV2,0:11:48,0:11:51,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B234,AV2,0:11:51,0:11:54,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B235,AV2,0:11:54,0:11:57,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B236,AV2,0:11:57,0:12:00,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B237,AV2,0:12:00,0:12:03,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B238,AV2,0:12:03,0:12:06,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B239,AV2,0:12:06,0:12:09,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B240,AV2,0:12:09,0:12:12,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B241,AV2,0:12:12,0:12:15,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B242,AV2,0:12:15,0:12:18,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B243,AV2,0:12:18,0:12:21,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B244,AV2,0:12:21,0:12:24,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B245,AV2,0:12:24,0:12:27,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B246,AV2,0:12:27,0:12:30,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B247,AV2,0:12:30,0:12:33,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B248,AV2,0:12:33,0:12:36,诱发学习行为/引出行为,T&S,让学生回答问题：“解比例方程左边比例表示的是什么”,分析,完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B249,AV2,0:12:36,0:12:39,提供学习指导,T&S,对刚才的问题提供解释,理解,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B250,AV2,0:12:39,0:12:42,提供学习指导,T&S,对刚才的问题提供解释,理解,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B251,AV2,0:12:42,0:12:45,提供学习指导,T&S,对刚才的问题提供解释,理解,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B252,AV2,0:12:45,0:12:48,提供学习指导,T&S,对刚才的问题提供解释,理解,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B253,AV2,0:12:48,0:12:51,提供学习指导,T&S,对刚才的问题提供解释,理解,完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B254,AV2,0:12:51,0:12:54,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B255,AV2,0:12:54,0:12:57,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B256,AV2,0:12:57,0:13:00,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B257,AV2,0:13:00,0:13:03,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B258,AV2,0:13:03,0:13:06,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B259,AV2,0:13:06,0:13:09,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B260,AV2,0:13:09,0:13:12,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B261,AV2,0:13:12,0:13:15,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B262,AV2,0:13:15,0:13:18,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B263,AV2,0:13:18,0:13:21,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B264,AV2,0:13:21,0:13:24,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B265,AV2,0:13:24,0:13:27,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B266,AV2,0:13:27,0:13:30,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B267,AV2,0:13:30,0:13:33,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B268,AV2,0:13:33,0:13:36,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B269,AV2,0:13:36,0:13:39,诱发学习行为/引出行为,T&S,提问学生，哪一步最关键,分析,完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B270,AV2,0:13:39,0:13:42,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B271,AV2,0:13:42,0:13:45,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B272,AV2,0:13:45,0:13:48,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B273,AV2,0:13:48,0:13:51,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B274,AV2,0:13:51,0:13:54,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B275,AV2,0:13:54,0:13:57,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B276,AV2,0:13:57,0:14:00,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B277,AV2,0:14:00,0:14:03,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B278,AV2,0:14:03,0:14:06,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B279,AV2,0:14:06,0:14:09,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B280,AV2,0:14:09,0:14:12,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B281,AV2,0:14:12,0:14:15,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B282,AV2,0:14:15,0:14:18,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B283,AV2,0:14:18,0:14:21,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B284,AV2,0:14:21,0:14:24,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B285,AV2,0:14:24,0:14:27,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,部分完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B286,AV2,0:14:27,0:14:30,诱发学习行为/引出行为,T&S,提问学生，“依据是什么”,分析,完成,口头讲述+板书,T→S_whole,"V, R",[新知学习]
B287,AV2,0:14:30,0:14:33,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B288,AV2,0:14:33,0:14:36,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B289,AV2,0:14:36,0:14:39,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B290,AV2,0:14:39,0:14:42,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B291,AV2,0:14:42,0:14:45,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B292,AV2,0:14:45,0:14:48,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B293,AV2,0:14:48,0:14:51,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B294,AV2,0:14:51,0:14:54,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B295,AV2,0:14:54,0:14:57,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B296,AV2,0:14:57,0:15:00,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B297,AV2,0:15:00,0:15:03,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B298,AV2,0:15:03,0:15:06,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B299,AV2,0:15:06,0:15:09,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B300,AV2,0:15:09,0:15:12,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B301,AV2,0:15:12,0:15:15,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B302,AV2,0:15:15,0:15:18,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B303,AV2,0:15:18,0:15:21,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B304,AV2,0:15:21,0:15:24,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B305,AV2,0:15:24,0:15:27,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B306,AV2,0:15:27,0:15:30,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B307,AV2,0:15:30,0:15:33,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B308,AV2,0:15:33,0:15:36,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B309,AV2,0:15:36,0:15:39,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B310,AV2,0:15:39,0:15:42,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B311,AV2,0:15:42,0:15:45,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B312,AV2,0:15:45,0:15:48,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
B313,AV2,0:15:48,0:15:51,提供教学指导,T&S,对接下来的问题，给学生演示如何解比例,理解,部分完成,板书+口头讲述,T→S_whole,"V, R",[新知学习]
